Load Number,CARRIER,CONTAINER ID,DESTINATION CITY,DESTINATION STATE,DD DATE,DD TIME,BILL DATE,BILL TIME,ZDLT LATE CODE,ON TIME? (Y/N),SPLIT? (Y/N),FRESH PRIORITY STO? (Y/N),NOTES/COMMENTS
5000263346,SHKE,C#2/80023,Chillicothe,MO,2024-11-14 00:00:00,15:10:07,2024-11-14 00:00:00,15:10:07,,Y,N,,
5000263349,PTGB,CR#2/1185,Des Moines,IA,2024-11-14 00:00:00,15:28:15,2024-11-14 00:00:00,15:28:15,,Y,N,,
5000263370,PTGB,CR#1/1178,Des Moines,IA,2024-11-14 00:00:00,15:29:34,2024-11-14 00:00:00,15:29:34,,Y,N,,
5000263371,PTGB,CR#3/1186,Des Moines,IA,2024-11-14 00:00:00,17:43:51,2024-11-14 00:00:00,17:43:51,,Y,N,,
5000263373,SHKE,CUT3/8799,Chillicothe,MO,2024-11-14 00:00:00,18:00:33,2024-11-14 00:00:00,18:00:33,,Y,N,,
4303718716,TSL,SEGU 9509174,EDGERTON,KS,,,2024-11-13 00:00:00,10:26:00,,,,,
4303721005,TSL,AMCU 9393684,EDGERTON,KS,,,2024-11-14 00:00:00,16:37:00,,,,,
4303718713,TSL,TLLU 7774582,EDGERTON,KS,,,2024-11-14 00:00:00,17:23:00,,,,,
5000263100,HEYL,24079,Des Moines,IA,2024-11-12 00:00:00,09:54:30,2024-11-12 00:00:00,09:54:30,,,,,Delivered
5000263151,JOFD,8127,Des Moines,IA,2024-11-12 00:00:00,15:06:00,2024-11-12 00:00:00,15:06:00,,,,,Delivered
5000263154,BITD,16T16,Des Moines,IA,2024-11-12 00:00:00,16:03:25,2024-11-12 00:00:00,16:03:25,,,,,PUSH
4303721752,HIRP,30027,Olathe,KS,2024-11-12 00:00:00,17:30:00,2024-11-12 00:00:00,01:15:00,,,,,Delivered
4303725820,MOEE,3023,Le Mars,IA,2024-11-12 00:00:00,21:00:00,2024-11-12 00:00:00,18:48:00,,,,,Delivered
4303698056,CPU,,DALLAS,TX,2024-11-13 00:00:00,11:11:00,,00:00:00,,,,,
4303704657,CPU,,HOUSTON,TX,2024-11-13 00:00:00,11:11:00,,00:00:00,,,,,
4303723640,KBTO,13429,Olathe,KS,2024-11-13 00:00:00,12:00:00,2024-11-12 00:00:00,23:41:00,,,,,
5000263229,HEYL,25026,Des Moines,IA,2024-11-13 00:00:00,12:25:37,2024-11-13 00:00:00,12:25:37,,,,,
5000263257,BITD,16T12,Des Moines,IA,2024-11-13 00:00:00,15:15:24,2024-11-13 00:00:00,15:15:24,,,,,
5000263270,JOFD,7702,Des Moines,IA,2024-11-13 00:00:00,16:02:00,2024-11-13 00:00:00,16:02:00,,,,,
4303721469,TAMI,103520,Olathe,KS,2024-11-13 00:00:00,17:00:00,2024-11-13 00:00:00,17:21:00,501,,,,
4303726090,JOFD,8329,Le Mars,IA,2024-11-13 00:00:00,21:00:00,2024-11-13 00:00:00,12:07:00,,,,,
4303723312,MOEE,3006,Monmouth,IL,2024-11-13 00:00:00,21:30:00,2024-11-13 00:00:00,09:53:00,,,,,
4303684755,JOFD,7992,DES MOINES,IA,2024-11-14 00:00:00,09:00:00,2024-11-13 00:00:00,12:40:00,,,,,
4303716518,HIRS,20239,HOUSTON,TX,2024-11-14 00:00:00,10:00:00,2024-11-14 00:00:00,07:23:00,,,,,
4303694415,PTGB,1161,OAKLAND,IA,2024-11-14 00:00:00,12:00:00,2024-11-12 00:00:00,11:08:00,,,,,
4303716602,STVV,17026,SAN ANTONIO,TX,2024-11-14 00:00:00,14:00:00,2024-11-13 00:00:00,21:21:00,,,,,
4303723447,HLBO,579456,Olathe,KS,2024-11-14 00:00:00,17:30:00,2024-11-13 00:00:00,23:18:00,,,,,
4303718504,PRIJ,240228,CHICAGO,IL,2024-11-14 00:00:00,17:36:00,2024-11-13 00:00:00,17:36:00,,,,,
4303711384,HIRP,H30033,Junction City,KS,2024-11-15 00:00:00,04:00:00,2024-11-13 00:00:00,17:52:00,,,,,
4303723644,HIRS,,North East,MD,2024-11-15 00:00:00,14:00:00,,00:00:00,,,,,
4303714513,CPU,R 51511,HOUSTON,TX,2024-11-16 00:00:00,22:55:00,2024-11-13 00:00:00,22:55:00,,,,,
4303708577,LDLC,,ABBOTSFORD,WI,2024-11-11 00:00:00,17:30:00,,,,,,,Waiting on driver
4303714720,HLBO,,Junction City,KS,2024-11-11 00:00:00,21:00:00,,,,,,,Waiting on driver
4303708519,JOFD,PHN,Saint James,MN,2024-11-12 00:00:00,03:30:00,,,,,,,Waiting on product
4303707732,KTIA,214,Greenfield,IN,2024-11-08 00:00:00,08:30:00,2024-11-07 00:00:00,07:25:00,,,,,
4303716289,AKHT,5322128,Greenfield,IN,2024-11-11 00:00:00,08:30:00,2024-11-10 00:00:00,03:55:00,,,,,
4303666974,CPU,111 PREMIUM,MOORE,OK,2024-11-11 00:00:00,11:11:00,2024-11-11 00:00:00,20:42:00,999,,,,
4303716169,CPU,1616 GOLD COAST txt,PASADENA,TX,2024-11-11 00:00:00,11:11:00,2024-11-11 00:00:00,21:10:00,999,,,,
4303720760,CPU,002 GLADIATOR  txt,CORAL GABLES,FL,2024-11-11 00:00:00,11:11:00,2024-11-11 00:00:00,23:49:00,999,,,,
4303716290,JOFD,8456 11/12 0625,Tar Heel,NC,2024-11-11 00:00:00,16:30:00,2024-11-11 00:00:00,22:30:00,999,,,,
4303707793,AKHT,53480R,Greenfield,IN,2024-11-11 00:00:00,23:30:00,2024-11-11 00:00:00,11:46:00,,,,,
4303704490,JOFD,8271 11/12 0550,Sioux City,IA,2024-11-12 00:00:00,03:30:00,2024-11-12 00:00:00,03:22:00,,,,,
4303720117,LSNC,956,Orange City,IA,2024-11-12 00:00:00,03:30:00,2024-11-12 00:00:00,03:43:00,999,,,,
4303713742,DKCR,9412,CHARLOTTE,NC,2024-11-12 00:00:00,04:30:00,2024-11-11 00:00:00,19:12:00,,,,,
4303714392,HIRS,91199,CHARLOTTE,NC,2024-11-12 00:00:00,04:30:00,2024-11-11 00:00:00,17:25:00,,,,,
4303711468,PRIJ,250596,Saint Charles,IL,2024-11-12 00:00:00,05:00:00,2024-11-11 00:00:00,16:23:00,,,,,
4303712015,JOFD,7901,Sioux Center,IA,2024-11-12 00:00:00,05:00:00,2024-11-11 00:00:00,19:40:00,,,,,
4303717287,JOFD,7476 11/12 0605,Omaha,NE,2024-11-12 00:00:00,05:00:00,2024-11-11 00:00:00,22:47:00,,,,,
4303713743,HIRP,H00262 11/12 0520,MOUNT PLEASANT,IA,2024-11-12 00:00:00,05:30:00,2024-11-11 00:00:00,19:13:00,,,,,
4303707820,WWIK,5165,Olathe,KS,2024-11-12 00:00:00,06:00:00,2024-11-11 00:00:00,20:40:00,,,,,
4303707890,WWIK,5155,Olathe,KS,2024-11-12 00:00:00,06:00:00,2024-11-11 00:00:00,22:29:00,,,,,
4303707928,WWIK,5119,Olathe,KS,2024-11-12 00:00:00,06:00:00,2024-11-12 00:00:00,00:37:00,,,,,
4303721002,MGNL,1233019 11/12 0445,Tar Heel,NC,2024-11-12 00:00:00,06:30:00,2024-11-12 00:00:00,01:25:00,,,,,
4303711604,SHAF,841203,Omaha,NE,2024-11-12 00:00:00,07:00:00,2024-11-09 00:00:00,21:39:00,,,,,
4303694279,PRIJ,200266,OAKLAND,IA,2024-11-12 00:00:00,07:30:00,2024-11-12 00:00:00,03:06:00,,,,,
4303716616,STVV,16574,HOUSTON,TX,2024-11-12 00:00:00,08:00:00,2024-11-12 00:00:00,01:22:00,,,,,
4303709296,JOFD,8254,Wichita,KS,2024-11-12 00:00:00,09:00:00,2024-11-12 00:00:00,03:23:00,,,,,
4303718642,KNJT,82156,Cudahy,WI,2024-11-12 00:00:00,09:00:00,2024-11-11 00:00:00,22:43:00,,,,,
4303711345,SFHM,346 POLAR,Cudahy,WI,2024-11-12 00:00:00,10:00:00,2024-11-11 00:00:00,23:42:00,,,,,
4303716617,PBTI,917,LANSING,MI,2024-11-12 00:00:00,11:00:00,2024-11-12 00:00:00,03:17:00,,,,,
4303713132,WWIK,5122,SCRANTON,SC,2024-11-12 00:00:00,16:30:00,2024-11-12 00:00:00,02:48:00,,,,,
4303707738,AKHT,5321019,Tar Heel,NC,2024-11-13 00:00:00,05:30:00,2024-11-12 00:00:00,01:32:00,,,,,
4303718099,BTIK,1693,CHICAGO,IL,2024-11-13 00:00:00,10:30:00,2024-11-11 00:00:00,18:06:00,,,,,
5000262847,AKHT,437537,Greenfield,IN,2024-11-08 00:00:00,13:03:23,2024-11-08 00:00:00,13:03:23,,Y,N,Y,
5000262926,AKHT,5321036,Olathe,KS,2024-11-08 00:00:00,23:47:43,2024-11-08 00:00:00,23:47:43,,Y,N,Y,
5000262959,AKHT,53414R,Olathe,KS,2024-11-09 00:00:00,19:55:46,2024-11-09 00:00:00,19:55:46,,Y,N,Y,
4303711140,AKHT,5322136,Junction City,KS,2024-11-10 00:00:00,20:00:00,2024-11-08 00:00:00,20:16:00,,Y,N,N,
4303711455,AKHT,5321050,Junction City,KS,2024-11-10 00:00:00,20:00:00,2024-11-08 00:00:00,14:37:00,,Y,N,N,
4303713311,AKHT,5324615,Wichita,KS,2024-11-12 00:00:00,00:00:00,2024-11-09 00:00:00,08:05:00,,Y,N,N,
4303713514,AKHT,53474,Wichita,KS,2024-11-13 00:00:00,00:00:00,2024-11-09 00:00:00,08:52:00,,Y,N,N,
4303715399,AKHT,53486,Tar Heel,NC,2024-11-12 00:00:00,03:30:00,2024-11-09 00:00:00,23:22:00,,Y,N,Y,
5000262928,BTDQ,501,Lincoln,NE,2024-11-09 00:00:00,01:41:06,2024-11-09 00:00:00,01:41:06,,Y,N,N,
4303715377,BTDQ,248,LINCOLN,NE,2024-11-09 00:00:00,07:00:00,2024-11-08 00:00:00,14:27:00,,Y,N,N,
4303711142,BTDQ,410,Junction City,KS,2024-11-11 00:00:00,02:00:00,2024-11-07 00:00:00,22:57:00,,Y,N,N,
4303715376,BTDQ,246,LINCOLN,NE,2024-11-11 00:00:00,09:00:00,2024-11-08 00:00:00,21:20:00,,Y,N,N,
5000262921,FRFT,1118,Olathe,KS,2024-11-08 00:00:00,19:13:17,2024-11-08 00:00:00,19:13:17,,Y,N,Y,
5000263002,FRFT,1518,Olathe,KS,2024-11-09 00:00:00,23:42:00,2024-11-09 00:00:00,23:42:00,,Y,N,Y,
4303705099,HIRP,91740,Cudahy,WI,2024-11-11 00:00:00,09:00:00,2024-11-07 00:00:00,20:50:00,,Y,N,N,
4303704683,HLBO,579496,Sioux Center,IA,2024-11-13 00:00:00,03:30:00,2024-11-09 00:00:00,19:56:00,,Y,N,N,
5000263000,JOFD,7876,Greenfield,IN,2024-11-09 00:00:00,19:56:53,2024-11-09 00:00:00,19:56:53,,Y,N,Y,
5000262920,JOFD,8367,Greenfield,IN,2024-11-08 00:00:00,18:55:34,2024-11-08 00:00:00,18:55:34,,Y,N,Y,
4303711707,JOFD,7490,Lincoln,NE,2024-11-12 00:00:00,04:30:00,2024-11-09 00:00:00,08:06:00,,Y,N,N,
4303711673,MOEE,3015,Lincoln,NE,2024-11-11 00:00:00,09:30:00,2024-11-10 00:00:00,20:45:00,,Y,N,N,
4303711559,MOEE,3029,Omaha,NE,2024-11-11 00:00:00,02:30:00,2024-11-08 00:00:00,22:51:00,,Y,N,N,
4303705098,PRIJ,253061,Cudahy,WI,2024-11-10 00:00:00,06:00:00,2024-11-08 00:00:00,04:43:00,,Y,N,N,
4303699545,PRIJ,200980,Peru,IN,2024-11-11 00:00:00,17:00:00,2024-11-10 00:00:00,20:43:00,,Y,N,N,
