FACILITY,DATE,Load Number,CARRIER,CONTAINER ID,DESTINATION CITY,DESTINATION STATE,DD DATE,DD TIME,BILL DATE,BILL TIME,ZDLT LATE CODE,ON TIME? (Y/N),SPLIT? (Y/N),FRESH PRIORITY STO? (Y/N),NOTES/COMMENTS,DETAILED NOTES/COMMENTS,Reminder,Escalated?
Sioux Falls,31-Oct,4303702817,HIRSCHBACH,H20839,,WI,10/31/2024,8:00,10/30/2024,15:19,,,,,,,,
Sioux Falls,31-Oct,4303702156,HIRSCHBACH,H30405,,IA,11/1/2024,21:30,10/31/2024,0:46,,,,,,,,
Sioux Falls,31-Oct,43036972461,HIRSCHBACH,30649,,NC,11/1/2024,16:30,10/30/2024,12:33,,,,,,,,
Sioux Falls,31-Oct,4303702205,HIRSCHBACH,H40235,,IA,10/31/2024,20:00,10/29/2024,18:10,,,,,,,,
Sioux Falls,31-Oct,4303705410,HIRSCHBACH,T91338,,MD,11/1/2024,17:30,10/30/2024,5:09,,,,,,,,
Sioux Falls,31-Oct,4303689381,JFI,7604,,IA,11/1/2024,5:00,10/30/2024,21:20,,,,,,,,
Sioux Falls,31-Oct,4303689531,JFI,7726,,IA,11/1/2024,5:00,10/31/2024,3:34,,,,,,,,
Sioux Falls,31-Oct,4303693090,JFI,7799,,IA,10/31/2024,2:30,10/30/2024,14:06,,,,,,,,
Sioux Falls,31-Oct,4303700083,JFI,7823,,WI,10/30/2024,19:30,10/30/2024,21:36,,,,,,,,
Sioux Falls,31-Oct,4303688116,JFI,7926,,MN,10/31/2024,2:30,10/30/2024,14:51,,,,,,,,
Sioux Falls,31-Oct,4303705071,JFI,7957,,NE,11/1/2024,2:00,10/30/2024,21:05,,,,,,,,
Sioux Falls,31-Oct,4303702723,JFI,8096,,WI,10/31/2024,8:00,10/31/2024,1:36,,,,,,,,
Sioux Falls,31-Oct,4303689558,JFI,8108,,IA,10/31/2024,5:00,10/30/2024,18:10,,,,,,,,
Sioux Falls,31-Oct,4303688081,JFI,8184,,KS,10/31/2024,9:00,10/31/2024,3:59,,,,,,,,
Sioux Falls,31-Oct,4303679592,JFI,8309,,IA,10/31/2024,4:30,10/30/2024,23:39,,,,,,,,
Sioux Falls,31-Oct,4303693085,JFI,8406,,KS,10/30/2024,9:00,10/29/2024,23:19,,,,,,,,
Sioux Falls,31-Oct,4303693123,JFI,8407,,IA,10/31/2024,9:00,10/31/2024,3:57,,,,,,,,
Sioux Falls,31-Oct,4303703711,JFI,8446,,KS,10/31/2024,18:30,10/30/2024,18:46,,,,,,,,
Sioux Falls,31-Oct,4303699583,K&B,12448,,IL,10/31/2024,11:30,10/29/2024,19:18,,,,,,,,
Sioux Falls,31-Oct,4303588139,PRIME,240659,MONTGOMERY,IL,10/31/2024,6:30,10/31/2024,0:21,,,,,,,,
Sioux Falls,31-Oct,4303654079,STEVENS,17460,HIDALGO,TX,10/29/2024,18:30,10/30/2024,19:04,,,,,,,,
Sioux Falls,31-Oct,4303654788,PRIME,253378,HIDALGO,TX,10/29/2024,20:00,10/30/2024,19:05,,,,,,,,
Sioux Falls,31-Oct,4303684185,STATELINE,7,Cudahy,WI,10/31/2024,10:00,10/30/2024,16:47,,,,,,,,
Sioux Falls,31-Oct,4303685966,SWIFT,R20214,Salt Lake City,UT,10/30/2024,13:00,10/30/2024,13:44,,,,,,,,
Sioux Falls,31-Oct,4303690713,SWIFT,583019,Salt Lake City,UT,10/30/2024,13:00,10/30/2024,19:08,,,,,,,,
Sioux Falls,31-Oct,4303691563,RAIDER,531232,Lincoln,NE,10/30/2024,18:30,10/30/2024,5:14,,,,,,,,
Sioux Falls,31-Oct,4303691950,RAIDER,531225,Junction City,KS,10/31/2024,9:00,10/31/2024,2:12,,,,,,,,
Sioux Falls,31-Oct,4303697516,WINDWALKER,5150,Greenfield,IN,11/1/2024,8:30,10/30/2024,22:22,,,,,,,,
Sioux Falls,31-Oct,4303698202,STEVENS,18706,HOUSTON,TX,10/31/2024,8:30,10/30/2024,21:56,,,,,,,,
Sioux Falls,31-Oct,4303698720,PRIME,241534,COUNCIL BLUFFS,IA,10/31/2024,5:30,10/30/2024,21:33,,,,,,,,
Sioux Falls,31-Oct,4303698764,LARSEN,956,Orange City,IA,10/31/2024,3:30,10/31/2024,4:41,,,,,,,,
Sioux Falls,31-Oct,4303703669,WINDWALKER,5067,Olathe,KS,10/31/2024,6:00,10/30/2024,14:15,,,,,,,,
Sioux Falls,31-Oct,4303703710,TRANSAM,262512,North East,MD,11/1/2024,0:30,10/31/2024,2:08,,,,,,,,
Sioux Falls,31-Oct,4303704752,PRIME,216160,OMAHA,NE,11/1/2024,3:00,10/30/2024,16:47,,,,,,,,
Sioux Falls,31-Oct,4303705340,WINDWALKER,5117,Olathe,KS,11/1/2024,3:00,10/30/2024,23:46,,,,,,,,
Sioux Falls,31-Oct,4303706179,NATIONWIDE,5561,Greenfield,IN,11/1/2024,8:30,10/31/2024,2:06,,,,,,,,
Clinton,1-Nov,4303698126,HIRP,6349,Lincoln,NE,10/29/2024,16:00,10/29/2024,23:33,,,,,,,,
Clinton,1-Nov,4303705992,CRED,28632,GREENSBORO,NC,11/1/2024,1:30,11/1/2024,0:19,,,,,,,,
Clinton,1-Nov,4303707776,CRED,27782,Wilson,NC,11/1/2024,2:30,10/31/2024,20:00,,,,,,,,
Clinton,1-Nov,4303696109,CRED,28682,BURGAW,NC,11/1/2024,4:00,11/1/2024,0:51,,,,,,,,
Clinton,1-Nov,4303696240,HIRS,H30469,Middlesboro,KY,11/1/2024,8:00,10/31/2024,12:35,,,,,,,,
Clinton,1-Nov,4303705546,PRIJ,250834,Greenfield,IN,11/1/2024,10:30,10/31/2024,0:07,,,,,,,,
Clinton,1-Nov,4303707393,SHGR,52307,Greenfield,IN,11/1/2024,10:30,10/30/2024,23:06,,,,,,,,
Clinton,1-Nov,4303701582,HIRS,H30228,Lincoln,NE,11/1/2024,11:00,10/30/2024,17:28,,,,,,,,
Clinton,1-Nov,4303701692,HIRS,H20162,Lincoln,NE,11/1/2024,11:00,10/31/2024,12:35,,,,,,,,
Clinton,1-Nov,4303707392,DMCC,10180,Olathe,KS,11/1/2024,15:00,10/31/2024,23:08,,,,,,,,
Clinton,1-Nov,4303705801,PRIJ,251443,MEMPHIS,TN,11/1/2024,16:00,10/31/2024,8:27,,,,,,,,
Clinton,1-Nov,4303701826,HIRP,H30403,Lincoln,NE,11/1/2024,17:00,10/30/2024,23:06,,,,,,,,
Clinton,1-Nov,4303697514,HIRS,H40276,OKLAHOMA CITY,OK,11/1/2024,22:00,10/31/2024,23:10,,,,,,,,
Clinton,1-Nov,4303701822,PRIJ,190249,Kansas City,MO,11/2/2024,21:00,10/31/2024,9:31,,,,,,,,
Clinton,1-Nov,4303701864,PRIJ,200704,Kansas City,MO,11/2/2024,21:00,10/31/2024,5:59,,,,,,,,
Clinton,1-Nov,4303701866,PRIJ,232332,Kansas City,MO,11/2/2024,21:00,10/31/2024,11:45,,,,,,,,
Clinton,1-Nov,4303701867,PRIJ,200954,Kansas City,MO,11/2/2024,21:00,10/31/2024,17:44,,,,,,,,
Clinton,1-Nov,4303701915,DMCC,10025,Kansas City,MO,11/2/2024,21:00,10/31/2024,17:48,,,,,,,,
Clinton,1-Nov,4303702002,DMCC,14242,Kansas City,MO,11/2/2024,21:00,10/31/2024,5:43,,,,,,,,
Clinton,1-Nov,4303701597,AKHT,53283,Lincoln,NE,11/3/2024,16:00,11/1/2024,0:53,,,,,,,,
Clinton,1-Nov,4303701827,HIRP,H30127,Lincoln,NE,11/3/2024,16:00,10/31/2024,6:19,,,,,,,,
Clinton,1-Nov,4303702006,AKHT,S5322118,Lincoln,NE,11/3/2024,16:00,10/31/2024,22:48,,,,,,,,
Crete,1-Nov,4303704773,AKHT,5321002,BURGAW,NC,11/3/2024,14:30,10/31/2024,20:11,,,,,,,,
Crete,1-Nov,4303697587,AKHT,5324625,Cudahy,WI,11/4/2024,10:00,10/31/2024,9:00,,,,,,,,
Crete,1-Nov,4303703686,BTDQ,246,LINCOLN,NE,11/1/2024,9:00,10/31/2024,20:30,,,,,,,,
Crete,1-Nov,4303693109,HIRP,H30618,Carroll,IA,11/1/2024,2:00,10/31/2024,21:32,,,,,,,,
Crete,1-Nov,4303707202,HIRP,95297,DUBUQUE,IA,11/3/2024,20:00,10/31/2024,13:06,,,,,,,,
Crete,1-Nov,4303695324,HIRS,469,Tar Heel,NC,11/2/2024,9:30,10/31/2024,12:55,,,,,,,,
Crete,1-Nov,4303695701,HIRS,H00268,North East,MD,11/2/2024,10:30,11/1/2024,0:14,,,,,,,,
Crete,1-Nov,4303691691,HLBO,579603,Junction City,KS,11/1/2024,2:00,10/31/2024,19:30,,,,,,,,
Crete,1-Nov,4303697475,JOFD,7611,Lincoln,NE,11/1/2024,4:30,10/31/2024,17:28,,,,,,,,
Crete,1-Nov,4303691494,MOEE,3002,Lincoln,NE,Densio,4:30,10/31/2024,19:02,,,,,,,,
Crete,1-Nov,4303691874,MOEE,3020,Omaha,NE,11/1/2024,4:30,10/31/2024,14:39,,,,,,,,
Crete,1-Nov,4303706589,PTGB,1185,Omaha,NE,11/4/2024,3:30,10/31/2024,10:42,,,,,,,,
Crete,1-Nov,4303702559,PTGB,1148,Omaha,NE,11/4/2024,8:30,10/31/2024,20:48,,,,,,,,
Sioux  Falls,1-Nov,4303670175,LRKF,2014 FARMER FGT PHN,BOUCHERVILLE,QC,10/30/2024,21:30,,0:00,,,,,,,,
Sioux  Falls,1-Nov,4303691564,WWIK,5059,Lincoln,NE,10/31/2024,18:30,10/31/2024,11:38,,,,,,,,
Sioux  Falls,1-Nov,4303691660,RDXO,R531273,Lincoln,NE,10/31/2024,18:30,10/31/2024,16:32,,,,,,,,
Sioux  Falls,1-Nov,4303691879,RDXO,R531784,Junction City,KS,10/31/2024,21:00,10/31/2024,18:52,,,,,,,,
Sioux  Falls,1-Nov,4303691910,RDXO,R531528,Junction City,KS,10/31/2024,21:00,10/31/2024,20:16,,,,,,,,
Sioux  Falls,1-Nov,4303650609,MCFG,5182,AUSTIN,MN,11/1/2024,1:00,10/31/2024,21:41,,,,,,,,
Sioux  Falls,1-Nov,4303693091,JOFD,7691,Carroll,IA,11/1/2024,1:00,10/31/2024,22:26,,,,,,,,
